PdbID1	PdbID2	CfGroupID1	CfGroupID2
1c7b	1shr	4	53
1kl4	1n7y	2	1
1owe	2vin	115	12
1re9	3p6n	7	228
1x71	4iaw	110	3
2a1e	2qnp	3	34
2fst	3gcs	1	3
2hah	6fiv	12	53
2jej	4rua	3	32
2qd9	4dli	3	5
2yis	2yiw	16	3
3a99	3we8	30	480
3kq6	3v19	1	2
3mfj	5lh8	3	146
3oni	4qew	7	85
3owk	1pjk	21	62
3q5h	3q4b	85	18
3vbq	4dtk	30	480
4axt	1yil	1	69
4ird	4irc	6	29
4khy	3cfp	1	2
4khy	3cq8	1	2
4l7j	3inh	12	43
4lbu	1r5y	5	1
4ugc	4ug6	2	15
4w4w	2o0u	342	15
4ylj	4mq2	80	172
4zsh	1mvc	1	2
5clz	3ipe	3	1
5cu6	5csv	21	283
5hg5	5u8l	335	73
821p	1gnr	5	4
821p	1plk	5	4
